Exportaciones por Inciso Arancelario;;;;;;;;;;;;;;;;;;;;;;;;
Comercio General;;;;;;;;;;;;;;;;;;;;;;;;
Período: 2002 - 2025;;;;;;;;;;;;;;;;;;;;;;;;
-Cifras en US dólares-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Numero de Inciso;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025 p/
02099000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
02101200;316;0;0;0;0;9400;0;0;0;2172;2372;0;6519;4073;0;0;0;0;0;0;0;0;0;0 
0210120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1125;0;0;0;0;76;0;13000
02101900;736;0;0;8850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0210190000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;9035;21356;235;0
02102000;0;0;0;0;0;0;1.769 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02109930;0;0;0;0;0;0;249;0;0;4498;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02109990;0;0;0;0;0;4140;10429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03011000;0;0;0;0;0;3615;2685;1018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03011100;0;0;0;0;0;0;0;0;0;0;0;0;1.148 ;1.569 ;0;0;0;0;0;0;0;0;0;0
0301110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.133 ;0;0;0;0;49850
0301190000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.531 ;11424;0;0;0;0
0301911000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153
03019190;0;0;0;0;0;0;0;0;0;0;0;1777;8689;6057;6280;0;0;0;0;0;0;0;0;0
0301919000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5057;5300;7710;5120;4670;0;0;0;0
0301921000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17860;0;0;0;0;0
03019910;0;0;0;0;0;0;0;0;0;0;200;1500;0;0;0;0;0;0;0;0;0;0;0;0
03019999;50 ;0;0;0;0;0;0;0;0;1900;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03021100;0;7.670 ;7278;0;16157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03021900;125331;101063;143799;102203;65134;68291;117390;156050;43521;58930;44015;15150;51561;0;0;0;0;0;0;0;0;0;0;0
0302190000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0
03022900;1540;0;0;100;0;0;0;0;0;0;0;0;8884;0;0;0;0;0;0;0;0;0;0;0
03023100;500;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0302390000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763;0;0;0;0;0;0;0;0
03024300;0;0;0;0;0;0;0;0;0;0;4950;0;0;0;0;0;0;0;0;0;0;0;0;0
0302470000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27315;0;0;0;0;0;0;0;0
03026100;0;0;0;0;1.250 ;2.000 ;0;330 ;16.706 ;18.050 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03026400;0;0;0;0;0;0;580 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03026500;34.711 ;0;0;2.120 ;0;0;0;0;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
